EngDisplacement(X),Fuel efficiency(Y),,X^2 (XX),,X*Y (XY)
4.7,28.0198,,22.09,,131.69306
4.7,25.6094,,22.09,,120.36418
4.2,26.8,,17.64,,112.56
4.2,25.0451,,17.64,,105.18942
5.2,24.8,,27.04,,128.96
5.2,23.9,,27.04,,124.28
2,39.7256,,4,,79.4512
6,24.4,,36,,146.4
3,39.7103,,9,,119.1309
3,38.7896,,9,,116.3688
3,33.6296,,9,,100.8888
3,35.2678,,9,,105.8034
8,17.8,,64,,142.4
6.2,27.1,,38.44,,168.02
6.2,34.3493,,38.44,,212.96566
6.2,35.8,,38.44,,221.96
7,33.7,,49,,235.9
8.4,30,,70.56,,252
8.4,30,,70.56,,252
4.5,24.3499,,20.25,,109.57455
5.7,20.99,,32.49,,119.643
5.7,21.1,,32.49,,120.27
5.2,25.4,,27.04,,132.08
5.2,24,,27.04,,124.8
5.2,25.4,,27.04,,132.08
5.2,22.6,,27.04,,117.52
6.5,17.5,,42.25,,113.75
6.5,19.9,,42.25,,129.35
6.5,19.9,,42.25,,129.35
6.5,17.5,,42.25,,113.75
6.5,19.9,,42.25,,129.35
1.8,37.62,,3.24,,67.716
1.8,37.0028,,3.24,,66.60504
2,38.9959,,4,,77.9918
2,39,,4,,78
2,38.512,,4,,77.024
5.5,29.3,,30.25,,161.15
3,35.9,,9,,107.7
3.5,36.2,,12.25,,126.7
3.5,34.5,,12.25,,120.75
3.5,34.7927,,12.25,,121.77445
5.5,30.8,,30.25,,169.4
1,57.8,,1,,57.8
1,57.8,,1,,57.8
3.7,35.9802,,13.69,,133.12674
3.7,36.9,,13.69,,136.53
3.7,34.5832,,13.69,,127.95784
3.7,34.9,,13.69,,129.13
2,37.5,,4,,75
2,40,,4,,80
2.4,33.6,,5.76,,80.64
2.4,36.4,,5.76,,87.36
3.8,28.5532,,14.44,,108.50216
3.8,27.372,,14.44,,104.0136
2.9,37.3296,,8.41,,108.25584
2.9,41.3608,,8.41,,119.94632
3.4,36.7299,,11.56,,124.88166
3.4,40.9978,,11.56,,139.39252
2.9,37.3296,,8.41,,108.25584
2.9,41.3608,,8.41,,119.94632
3.4,36.7299,,11.56,,124.88166
3.4,40.9978,,11.56,,139.39252
2,37.5,,4,,75
2,40,,4,,80
2.4,36.4,,5.76,,87.36
2.4,33.6,,5.76,,80.64
4.2,27.471,,17.64,,115.3782
5.9,23.6523,,34.81,,139.54857
5.9,27.2408,,34.81,,160.72072
5.9,22.9258,,34.81,,135.26222
5.9,24.6983,,34.81,,145.71997
4.3,26.1157,,18.49,,112.29751
5,32.8808,,25,,164.404
5,30.3378,,25,,151.689
5,30.8027,,25,,154.0135
4.3,31.6,,18.49,,135.88
3.5,35.5,,12.25,,124.25
1.6,51.6555,,2.56,,82.6488
1.6,47.2025,,2.56,,75.524
1.6,52,,2.56,,83.2
1.6,47.2025,,2.56,,75.524
1.6,44.5714,,2.56,,71.31424
1.6,47.7592,,2.56,,76.41472
1.6,44.5714,,2.56,,71.31424
1.6,47.7592,,2.56,,76.41472
1.6,46.5047,,2.56,,74.40752
1.6,46.5047,,2.56,,74.40752
2.4,36.2628,,5.76,,87.03072
3.8,33.2,,14.44,,126.16
3.6,35.2427,,12.96,,126.87372
3.6,37.6908,,12.96,,135.68688
3.6,34.8754,,12.96,,125.55144
3.6,36.7563,,12.96,,132.32268
3.6,34.8754,,12.96,,125.55144
3.6,36.4395,,12.96,,131.1822
3.6,34.8754,,12.96,,125.55144
3.6,36.4395,,12.96,,131.1822
3.8,34.5148,,14.44,,131.15624
3.8,36.013,,14.44,,136.8494
3.8,34.5148,,14.44,,131.15624
3.8,37.0769,,14.44,,140.89222
3.8,34.5148,,14.44,,131.15624
3.8,37.0769,,14.44,,140.89222
3.6,35.2427,,12.96,,126.87372
3.6,37.6908,,12.96,,135.68688
3.8,35.3594,,14.44,,134.36572
3.8,36.9347,,14.44,,140.35186
3.8,36.9347,,14.44,,140.35186
3.8,35.3594,,14.44,,134.36572
3.8,33.8482,,14.44,,128.62316
3.8,33.1649,,14.44,,126.02662
3.8,34.255,,14.44,,130.169
3.8,33.2357,,14.44,,126.29566
3.8,33.8482,,14.44,,128.62316
3.8,34.255,,14.44,,130.169
2.5,39.7267,,6.25,,99.31675
5.9,26.6208,,34.81,,157.06272
2,42.7743,,4,,85.5486
2,37,,4,,74
2,37.7989,,4,,75.5978
2,42.575,,4,,85.15
3.2,36.2,,10.24,,115.84
4.2,31,,17.64,,130.2
4.2,29.3,,17.64,,123.06
3,34,,9,,102
2,39.7256,,4,,79.4512
6,23.2715,,36,,139.629
3,38.1696,,9,,114.5088
3,38.7896,,9,,116.3688
3,39.7103,,9,,119.1309
3,38.7896,,9,,116.3688
3,35.5,,9,,106.5
3,35.2678,,9,,105.8034
3,36.1548,,9,,108.4644
3,35.7081,,9,,107.1243
3,39.7103,,9,,119.1309
3,38.7896,,9,,116.3688
3,38.1696,,9,,114.5088
3,36.798,,9,,110.394
3,35.5404,,9,,106.6212
3,35.4606,,9,,106.3818
3,36.1548,,9,,108.4644
3,35.7081,,9,,107.1243
3,36.1548,,9,,108.4644
3,35.7081,,9,,107.1243
3,34.7288,,9,,104.1864
3,34.2853,,9,,102.8559
4.8,30.5375,,23.04,,146.58
4.8,31.3747,,23.04,,150.59856
4.8,28.8,,23.04,,138.24
4.8,31.8,,23.04,,152.64
4,27.3704,,16,,109.4816
4,27.3,,16,,109.2
4,28.4,,16,,113.6
4,27.9711,,16,,111.8844
5,23.227,,25,,116.135
5,23.6182,,25,,118.091
5,23.7,,25,,118.5
5,24.0505,,25,,120.2525
1.6,47.9,,2.56,,76.64
1.6,48.9,,2.56,,78.24
2.2,51.9,,4.84,,114.18
2.2,46.8,,4.84,,102.96
2,41.9,,4,,83.8
2.2,51.9,,4.84,,114.18
4,32.7568,,16,,131.0272
4,36.3926,,16,,145.5704
4.6,32.1109,,21.16,,147.71014
4.6,33.8,,21.16,,155.48
5.4,30.4,,29.16,,164.16
1.8,50.5,,3.24,,90.9
1.8,48.6,,3.24,,87.48
1.8,51.1915,,3.24,,92.1447
2,40.5,,4,,81
2,41.7998,,4,,83.5996
2,42,,4,,84
3.8,38.0484,,14.44,,144.58392
3.8,36.4,,14.44,,138.32
3.7,32.9748,,13.69,,122.00676
3.7,35.2288,,13.69,,130.34656
3.7,34.7305,,13.69,,128.50285
3.7,37.065,,13.69,,137.1405
3.7,35.162,,13.69,,130.0994
2.5,36.2901,,6.25,,90.72525
2.5,36.7047,,6.25,,91.76175
2.5,40.8247,,6.25,,102.06175
3.5,36.5564,,12.25,,127.9474
5,32.0888,,25,,160.444
4.2,26.8817,,17.64,,112.90314
4.7,26.7022,,22.09,,125.50034
4.7,26.5604,,22.09,,124.83388
1.3,30.2,,1.69,,39.26
1.3,32.1,,1.69,,41.73
3.5,36.0876,,12.25,,126.3066
5.5,31.7,,30.25,,174.35
1.6,51.6555,,2.56,,82.6488
1.6,47.2025,,2.56,,75.524
1.6,44.5714,,2.56,,71.31424
1.6,47.7592,,2.56,,76.41472
1.6,46.5047,,2.56,,74.40752
2.4,38.5995,,5.76,,92.6388
2.4,37.4902,,5.76,,89.97648
3.8,34.6,,14.44,,131.48
3.8,33.2,,14.44,,126.16
2.5,44.7365,,6.25,,111.84125
2.5,43.8,,6.25,,109.5
3.5,37.9628,,12.25,,132.8698
3.5,38.0169,,12.25,,133.05915
3.8,29.0307,,14.44,,110.31666
2.2,51.9,,4.84,,114.18
2.2,46.8,,4.84,,102.96
2.2,46.8,,4.84,,102.96
2.2,51.9,,4.84,,114.18
2.2,51.9,,4.84,,114.18
4.6,29.14,,21.16,,134.044
4.6,31.61,,21.16,,145.406
2,41.2,,4,,82.4
2,37.5,,4,,75
1.6,48.9,,2.56,,78.24
1.6,42.1,,2.56,,67.36
2.4,40.2,,5.76,,96.48
2.4,38.2,,5.76,,91.68
1.8,47.2,,3.24,,84.96
1.8,46.9,,3.24,,84.42
1.5,48.8622,,2.25,,73.2933
1.5,50.6725,,2.25,,76.00875
2,41.521,,4,,83.042
2,41.3156,,4,,82.6312
2.5,40.8,,6.25,,102
2.5,39.3753,,6.25,,98.43825
2.5,38.4,,6.25,,96
2.5,38.6,,6.25,,96.5
2.4,39.3,,5.76,,94.32
2.4,42.3,,5.76,,101.52
3.5,37.6,,12.25,,131.6
2,42.7743,,4,,85.5486
2,37.7989,,4,,75.5978
2,42.575,,4,,85.15
3,34.1,,9,,102.3
3,35,,9,,105
6.8,21.006,,46.24,,142.8408
6.8,21.006,,46.24,,142.8408
6,23.8,,36,,142.8
3,39.7103,,9,,119.1309
3,38.7896,,9,,116.3688
3,35.5404,,9,,106.6212
3,35.4606,,9,,106.3818
3,51.1,,9,,153.3
3,36.1548,,9,,108.4644
3,35.7081,,9,,107.1243
3,34.7288,,9,,104.1864
3,34.2853,,9,,102.8559
4,28.4,,16,,113.6
4,27.9711,,16,,111.8844
1.6,47.9,,2.56,,76.64
1.6,48.9,,2.56,,78.24
3.6,40.4,,12.96,,145.44
3.6,40,,12.96,,144
6.2,33.8,,38.44,,209.56
6.2,35.2,,38.44,,218.24
2.2,51.9,,4.84,,114.18
2.2,46.8,,4.84,,102.96
2.2,51.9,,4.84,,114.18
2.4,40.1,,5.76,,96.24
2.7,36.5,,7.29,,98.55
3.5,37.6,,12.25,,131.6
3.5,34.7,,12.25,,121.45
5.7,34.5,,32.49,,196.65
5.7,33.6,,32.49,,191.52
6.1,30.1,,37.21,,183.61
6.1,26,,37.21,,158.6
2,47.3278,,4,,94.6556
2,49.3,,4,,98.6
2.4,43.5,,5.76,,104.4
2.4,43.3,,5.76,,103.92
3.5,35.5,,12.25,,124.25
3.5,39.9,,12.25,,139.65
1.3,65,,1.69,,84.5
1.3,62.2674,,1.69,,80.94762
1.3,61.2,,1.69,,79.56
1.6,50.4,,2.56,,80.64
1.6,48.2,,2.56,,77.12
1.6,50.8205,,2.56,,81.3128
2,47.2964,,4,,94.5928
2,50.9,,4,,101.8
2,47.4,,4,,94.8
2.4,44.344,,5.76,,106.4256
2.4,44.6,,5.76,,107.04
1.6,50.2669,,2.56,,80.42704
1.6,48.3188,,2.56,,77.31008
3.5,35.3494,,12.25,,123.7229
2.4,47.4081,,5.76,,113.77944
2,46.624,,4,,93.248
2,46.4387,,4,,92.8774
2.5,40.1876,,6.25,,100.469
2.5,40.8873,,6.25,,102.21825
3,35.8,,9,,107.4
3,35.7311,,9,,107.1933
3.5,35.9,,12.25,,125.65
3,34.9,,9,,104.7
3.5,33.9,,12.25,,118.65
3.5,34.6,,12.25,,121.1
6.3,26.6722,,39.69,,168.03486
5.5,29.2,,30.25,,160.6
5.5,23.9,,30.25,,131.45
6.3,24.7,,39.69,,155.61
6,23.4,,36,,140.4
5.5,29,,30.25,,159.5
6.3,24.8202,,39.69,,156.36726
2,42.9363,,4,,85.8726
2,42.4579,,4,,84.9158
2,34.9,,4,,69.8
2.4,38.8769,,5.76,,93.30456
2.4,40.3706,,5.76,,96.88944
2,30.6,,4,,61.2
2,31.1,,4,,62.2
1.6,47.9,,2.56,,76.64
1.6,48.9,,2.56,,78.24
2.4,42.8,,5.76,,102.72
2.4,46.9,,5.76,,112.56
2.4,42.6,,5.76,,102.24
2.4,46.8,,5.76,,112.32
3.5,40.3,,12.25,,141.05
3.5,41.2,,12.25,,144.2
3.6,35.6,,12.96,,128.16
3.6,31,,12.96,,111.6
6.7,24.2,,44.89,,162.14
6.7,24.2,,44.89,,162.14
2,37.1,,4,,74.2
2,41.1132,,4,,82.2264
2,38.4627,,4,,76.9254
2,43.1,,4,,86.2
2,38.4997,,4,,76.9994
2.5,37.071,,6.25,,92.6775
2.5,35.9226,,6.25,,89.8065
2.5,34.1435,,6.25,,85.35875
2.5,32.9103,,6.25,,82.27575
2.4,42.3947,,5.76,,101.74728
2.4,41.3959,,5.76,,99.35016
2.4,40.8321,,5.76,,97.99704
2.4,44.0818,,5.76,,105.79632
2.4,43.0035,,5.76,,103.2084
2.4,41.5858,,5.76,,99.80592
2,46.3629,,4,,92.7258
2,45.1901,,4,,90.3802
2,44.708,,4,,89.416
2,41.5661,,4,,83.1322
1.8,48.4,,3.24,,87.12
1.8,50,,3.24,,90
2.4,42.2,,5.76,,101.28
2.4,42.6,,5.76,,102.24
2,42,,4,,84
2,41.521,,4,,83.042
3.6,35.1,,12.96,,126.36
3.6,33.5,,12.96,,120.6
2,60.1,,4,,120.2
2,58.535,,4,,117.07
2.5,39.6147,,6.25,,99.03675
2.5,40.2409,,6.25,,100.60225
2,43.5414,,4,,87.0828
2,41.521,,4,,83.042
2,43.5414,,4,,87.0828
2,41.521,,4,,83.042
2,60.1,,4,,120.2
2,58.535,,4,,117.07
2.5,39.5714,,6.25,,98.9285
2.5,40.0169,,6.25,,100.04225
2.4,39.348,,5.76,,94.4352
2.4,39.3,,5.76,,94.32
2.5,40.6,,6.25,,101.5
2.5,40.4,,6.25,,101
2.5,37.8,,6.25,,94.5
2.5,37.8,,6.25,,94.5
2.4,39.348,,5.76,,94.4352
2.4,39.3,,5.76,,94.32
2.5,40.6,,6.25,,101.5
2.5,40.4,,6.25,,101
3.7,30.9,,13.69,,114.33
3.5,36.8,,12.25,,128.8
3.7,34.3,,13.69,,126.91
3.7,34.4,,13.69,,127.28
3.2,38.9,,10.24,,124.48
3,34.7286,,9,,104.1858
4.2,31.5002,,17.64,,132.30084
4.2,31.5002,,17.64,,132.30084
5.2,26.7,,27.04,,138.84
6,23.2715,,36,,139.629
3,38.1696,,9,,114.5088
3,38.7896,,9,,116.3688
3,34.7818,,9,,104.3454
3,35.4606,,9,,106.3818
3,35.8831,,9,,107.6493
3,35.7081,,9,,107.1243
3,34.7288,,9,,104.1864
3,34.2853,,9,,102.8559
4.8,30.5375,,23.04,,146.58
4.8,31.3747,,23.04,,150.59856
5,23.227,,25,,116.135
5,23.6182,,25,,118.091
2.4,41.696,,5.76,,100.0704
3,36.1,,9,,108.3
3.6,38.1,,12.96,,137.16
3,34.4,,9,,103.2
3,38.3,,9,,114.9
3,36,,9,,108
3.6,34.9,,12.96,,125.64
3.6,40,,12.96,,144
6.2,24.9754,,38.44,,154.84748
6.2,26.2999,,38.44,,163.05938
3,36.1,,9,,108.3
3.6,37.2,,12.96,,133.92
3.6,40,,12.96,,144
4.6,34.1,,21.16,,156.86
3.6,37.2,,12.96,,133.92
4.6,30.2999,,21.16,,139.37954
2.4,42.8,,5.76,,102.72
2.4,46.9,,5.76,,112.56
2.4,42.6,,5.76,,102.24
2.4,46.8,,5.76,,112.32
3.5,40.3,,12.25,,141.05
3.5,41.2,,12.25,,144.2
3.6,35.6,,12.96,,128.16
2.4,48.1,,5.76,,115.44
2.4,41.6998,,5.76,,100.07952
2.7,38.3,,7.29,,103.41
3.5,37.6,,12.25,,131.6
2.4,41.6998,,5.76,,100.07952
2.7,38.3,,7.29,,103.41
3.5,37.6,,12.25,,131.6
5.7,21.7,,32.49,,123.69
5.7,21.3,,32.49,,121.41
3.5,33.5,,12.25,,117.25
3,35.4655,,9,,106.3965
2.5,42.908,,6.25,,107.27
2.5,40.2,,6.25,,100.5
3,37.9,,9,,113.7
3.5,37.4,,12.25,,130.9
2.5,51.6,,6.25,,129
2.5,44.2,,6.25,,110.5
2.5,47.6493,,6.25,,119.12325
2,47.7,,4,,95.4
2,48.2,,4,,96.4
2,49.217,,4,,98.434
3.7,34.7305,,13.69,,128.50285
3.7,37.065,,13.69,,137.1405
3.7,35.162,,13.69,,130.0994
4.2,34.4855,,17.64,,144.8391
5,29.7559,,25,,148.7795
5,32.6701,,25,,163.3505
2.4,44.6,,5.76,,107.04
2.4,44.6,,5.76,,107.04
2.7,39.8,,7.29,,107.46
3.5,38.3,,12.25,,134.05
3.5,36.5564,,12.25,,127.9474
3.5,34.7494,,12.25,,121.6229
4.6,34.0499,,21.16,,156.62954
4.6,33.5509,,21.16,,154.33414
4.6,32.1499,,21.16,,147.88954
4.6,33.5509,,21.16,,154.33414
4.6,32.1499,,21.16,,147.88954
5,30.3,,25,,151.5
3,35.4655,,9,,106.3965
2.5,42.908,,6.25,,107.27
2.5,40.2,,6.25,,100.5
3,37.9,,9,,113.7
2.5,51.6,,6.25,,129
2.5,47.6493,,6.25,,119.12325
2.5,44.2,,6.25,,110.5
3.5,33.5,,12.25,,117.25
3.5,37.4,,12.25,,130.9
2.5,40.1931,,6.25,,100.48275
2.5,41.6642,,6.25,,104.1605
3.7,34.8235,,13.69,,128.84695
2.3,34.7,,5.29,,79.81
3.5,36.2,,12.25,,126.7
3.5,33.2,,12.25,,116.2
5.5,33,,30.25,,181.5
5.5,32.3,,30.25,,177.65
6.3,27.1158,,39.69,,170.82954
2.4,42.2146,,5.76,,101.31504
2.5,45.6729,,6.25,,114.18225
3.5,37.9499,,12.25,,132.82465
3.5,38.0347,,12.25,,133.12145
2.5,46.6,,6.25,,116.5
3.5,36.4102,,12.25,,127.4357
2,43,,4,,86
2,47.5129,,4,,95.0258
2.5,39.6,,6.25,,99
2.5,42.6998,,6.25,,106.7495
1.6,46.5,,2.56,,74.4
1.6,47.3,,2.56,,75.68
1.8,47.5,,3.24,,85.5
1.8,44.9,,3.24,,80.82
1.8,44.2,,3.24,,79.56
6.7,24.2,,44.89,,162.14
2.8,37.1185,,7.84,,103.9318
2.4,46.9,,5.76,,112.56
2.4,46.8,,5.76,,112.32
3.6,35.6,,12.96,,128.16
2.5,37.0574,,6.25,,92.6435
2.5,34.6,,6.25,,86.5
2.5,42.9215,,6.25,,107.30375
3.6,34.2708,,12.96,,123.37488
2.5,46.8,,6.25,,117
2.5,45.0566,,6.25,,112.6415
3.5,39.8,,12.25,,139.3
2.4,48.2,,5.76,,115.68
1.8,69.6404,,3.24,,125.35272
2,42,,4,,84
3,32,,9,,96
4.4,30.8,,19.36,,135.52
3.2,36.4,,10.24,,116.48
4.2,31.5002,,17.64,,132.30084
3,39.4937,,9,,118.4811
4.4,30.9537,,19.36,,136.19628
4.4,30.562,,19.36,,134.4728
4.4,30.1726,,19.36,,132.75944
4.4,27.7,,19.36,,121.88
4.4,29.4521,,19.36,,129.58924
4.4,27.7,,19.36,,121.88
6,26.7495,,36,,160.497
3.9,37.3,,15.21,,145.47
3.9,36.6,,15.21,,142.74
4.6,31.9,,21.16,,146.74
4.6,31.9,,21.16,,146.74
4.6,31.9,,21.16,,146.74
4.6,22.7,,21.16,,104.42
4.6,24.5,,21.16,,112.7
3.5,40.3,,12.25,,141.05
3.5,41.2,,12.25,,144.2
3.9,37.3,,15.21,,145.47
3.5,32.1,,12.25,,112.35
5.7,31.9,,32.49,,181.83
2.7,35.7,,7.29,,96.39
3.5,34.2,,12.25,,119.7
5.7,34.5,,32.49,,196.65
6.1,26,,37.21,,158.6
2.7,35.7,,7.29,,96.39
3.5,34.2,,12.25,,119.7
5.7,34.5,,32.49,,196.65
6.1,26,,37.21,,158.6
3.5,32.1,,12.25,,112.35
5.7,31.9,,32.49,,181.83
4.6,33.3052,,21.16,,153.20392
3.5,34.9,,12.25,,122.15
3.5,34.7,,12.25,,121.45
3.5,37.4,,12.25,,130.9
3.5,27.8,,12.25,,97.3
2.4,43.1043,,5.76,,103.45032
2.4,43.2916,,5.76,,103.89984
