EngDisplacement(X),Fuel efficiency(Y),,X^2 (XX),,X*Y (XY)
3.5,41.2,,12.25,,144.2
3.3,36.2,,10.89,,119.46
3.8,35.6,,14.44,,135.28
3.8,38.3,,14.44,,145.54
4.6,34.2,,21.16,,157.32
2.4,44.4,,5.76,,106.56
2.4,44.8,,5.76,,107.52
3.3,40.1,,10.89,,132.33
3.5,34.1997,,12.25,,119.69895
3.5,30.5499,,12.25,,106.92465
4.5,29.6,,20.25,,133.2
4.5,27.2,,20.25,,122.4
5,29.7559,,25,,148.7795
5,32.6701,,25,,163.3505
5,31.0736,,25,,155.368
4.6,33.3052,,21.16,,153.20392
3.5,31.5,,12.25,,110.25
3.5,34.7,,12.25,,121.45
3.5,33,,12.25,,115.5
4.6,33.3052,,21.16,,153.20392
4.2,24.1837,,17.64,,101.57154
4.7,25.5102,,22.09,,119.89794
5.5,21.4,,30.25,,117.7
6,21.4,,36,,128.4
6,21.7,,36,,130.2
5.5,32,,30.25,,176
5.5,29.8,,30.25,,163.9
5.5,23.9,,30.25,,131.45
6.3,24.6,,39.69,,154.98
6,23.1,,36,,138.6
3.5,35,,12.25,,122.5
4.8,33.2603,,23.04,,159.64944
4.8,33.2603,,23.04,,159.64944
4.8,32.0263,,23.04,,153.72624
6.6,27.3,,43.56,,180.18
6.7,24.2,,44.89,,162.14
3.5,39.8,,12.25,,139.3
2,40.4003,,4,,80.8006
2,38.8702,,4,,77.7404
2,60.1,,4,,120.2
2,37.1,,4,,74.2
2,37.7989,,4,,75.5978
3,38.1696,,9,,114.5088
3,36.798,,9,,110.394
3,35.5404,,9,,106.6212
3,35.4606,,9,,106.3818
3,38.3,,9,,114.9
3.6,37,,12.96,,133.2
3,36.1,,9,,108.3
3.6,37.2,,12.96,,133.92
2,43.9,,4,,87.8
2,38,,4,,76
2.4,35.3,,5.76,,84.72
2.4,40.1,,5.76,,96.24
1.5,46.2622,,2.25,,69.3933
1.5,49.3,,2.25,,73.95
1.5,47.4,,2.25,,71.1
2,42.6,,4,,85.2
2,43.5,,4,,87
3.5,33.3,,12.25,,116.55
3.5,32.349,,12.25,,113.2215
1.6,43.5,,2.56,,69.6
1.6,44.2,,2.56,,70.72
2,41.8,,4,,83.6
2,42.8,,4,,85.6
2,34.7,,4,,69.4
2.4,37.2218,,5.76,,89.33232
2.4,37.4911,,5.76,,89.97864
1.8,41.799,,3.24,,75.2382
1.8,43.2609,,3.24,,77.86962
1.8,43.7,,3.24,,78.66
1.8,44.8,,3.24,,80.64
2.4,40,,5.76,,96
2.4,38.6,,5.76,,92.64
2.4,35.5877,,5.76,,85.41048
2,37.5,,4,,75
2,43.1,,4,,86.2
2,41.0456,,4,,82.0912
2,38.4627,,4,,76.9254
2,38.2,,4,,76.4
2.5,37.071,,6.25,,92.6775
2.5,35.9226,,6.25,,89.8065
2.5,34.1435,,6.25,,85.35875
2.5,32.9103,,6.25,,82.27575
2.5,31.8,,6.25,,79.5
2,42.3461,,4,,84.6922
2,41.5661,,4,,83.1322
2,41.7078,,4,,83.4156
2,40.2345,,4,,80.469
1.8,43.629,,3.24,,78.5322
1.8,44.7393,,3.24,,80.53074
2.4,36.1596,,5.76,,86.78304
2.4,38.9575,,5.76,,93.498
2.4,40.2796,,5.76,,96.67104
2.4,38.7,,5.76,,92.88
2.4,38.7,,5.76,,92.88
2,60.1,,4,,120.2
2,58.535,,4,,117.07
2.5,39.5714,,6.25,,98.9285
2.5,40.0169,,6.25,,100.04225
2.5,37.6,,6.25,,94
2.5,37.5,,6.25,,93.75
2.4,39.348,,5.76,,94.4352
2.5,40.4,,6.25,,101
2.5,40.6,,6.25,,101.5
3,34.7286,,9,,104.1858
3,32.5289,,9,,97.5867
3,33.7229,,9,,101.1687
2.4,37.0711,,5.76,,88.97064
2.7,35.9,,7.29,,96.93
2,42,,4,,84
3.2,36.4,,10.24,,116.48
2.9,34.1514,,8.41,,99.03906
2.9,35.3237,,8.41,,102.43873
3.7,31.8217,,13.69,,117.74029
5.3,27.9,,28.09,,147.87
3.7,27,,13.69,,99.9
2.9,34.3,,8.41,,99.47
2.9,35.5,,8.41,,102.95
3.7,31.6,,13.69,,116.92
5.3,27.9,,28.09,,147.87
2.3,32.8232,,5.29,,75.49336
2.3,37.7,,5.29,,86.71
4,28.6,,16,,114.4
4,28.5,,16,,114
2.9,34.1796,,8.41,,99.12084
2.9,35.2582,,8.41,,102.24878
3.7,31.8467,,13.69,,117.83279
5.3,27.9,,28.09,,147.87
3.7,27,,13.69,,99.9
2.9,34.3,,8.41,,99.47
2.9,35.5,,8.41,,102.95
3.7,31.6,,13.69,,116.92
5.3,27.9,,28.09,,147.87
2.5,30.1688,,6.25,,75.422
2.5,31.7,,6.25,,79.25
4,27.7366,,16,,110.9464
4,27.5894,,16,,110.3576
2.5,30.2,,6.25,,75.5
2.5,31.8,,6.25,,79.5
4,27.7857,,16,,111.1428
2.7,35.4291,,7.29,,95.65857
2.7,36.1463,,7.29,,97.59501
4,29.2,,16,,116.8
4,25.3,,16,,101.2
2.9,32.4,,8.41,,93.96
2.9,34.1,,8.41,,98.89
3.7,31.4112,,13.69,,116.22144
5.3,26.6,,28.09,,140.98
3.7,29.7999,,13.69,,110.25963
3.7,29.7999,,13.69,,110.25963
5.3,26.6,,28.09,,140.98
4,26.2,,16,,104.8
4,24.6648,,16,,98.6592
2.9,32.4,,8.41,,93.96
2.9,34.1,,8.41,,98.89
3.7,31.3858,,13.69,,116.12746
5.3,26.6,,28.09,,140.98
3.7,29.7999,,13.69,,110.25963
3.7,29.7999,,13.69,,110.25963
5.3,26.6,,28.09,,140.98
4,26.82,,16,,107.28
4,26.6538,,16,,106.6152
4,26.3846,,16,,105.5384
2.7,30.3,,7.29,,81.81
4,28.3,,16,,113.2
4,24.4,,16,,97.6
4.3,27.8055,,18.49,,119.56365
4.8,26.2283,,23.04,,125.89584
5.3,29.3708,,28.09,,155.66524
6.2,26.1,,38.44,,161.82
6,30.5,,36,,183
5.3,30.4,,28.09,,161.12
3.7,28.1,,13.69,,103.97
4.7,25.6,,22.09,,120.32
3.7,27.8,,13.69,,102.86
4.7,25.6,,22.09,,120.32
5.7,27.1,,32.49,,154.47
4,27.8,,16,,111.2
4.6,29,,21.16,,133.4
5.4,27.0426,,29.16,,146.03004
4.6,26.7829,,21.16,,123.20134
4.6,28.4633,,21.16,,130.93118
4.3,27.8522,,18.49,,119.76446
4.8,26.2125,,23.04,,125.82
5.3,29.3645,,28.09,,155.63185
6.2,26.1,,38.44,,161.82
6,30.5,,36,,183
5.3,30.4,,28.09,,161.12
5.6,24.9815,,31.36,,139.8964
5.6,25.0089,,31.36,,140.04984
4,25.7499,,16,,102.9996
4.6,28.0212,,21.16,,128.89752
5.7,25.5551,,32.49,,145.66407
4.3,24.1937,,18.49,,104.03291
4.8,24.1496,,23.04,,115.91808
5.3,29.0205,,28.09,,153.80865
6.2,25.7999,,38.44,,159.95938
6,30.2999,,36,,181.7994
3.7,24.4,,13.69,,90.28
4.7,25.6,,22.09,,120.32
4.7,24.5,,22.09,,115.15
5.7,25.4,,32.49,,144.78
4,25.7535,,16,,103.014
4.6,26.6622,,21.16,,122.64612
5.4,24.7939,,29.16,,133.88706
4.6,27.1061,,21.16,,124.68806
4.6,25.2298,,21.16,,116.05708
4.3,24.1937,,18.49,,104.03291
4.8,24.1534,,23.04,,115.93632
5.3,29.0185,,28.09,,153.79805
6.2,25.8026,,38.44,,159.97612
6,30.2999,,36,,181.7994
6.2,25.7999,,38.44,,159.95938
3.5,28.2,,12.25,,98.7
3.7,25.2,,13.69,,93.24
3.7,25.1,,13.69,,92.87
5.3,22.2999,,28.09,,118.18947
5.6,23.061,,31.36,,129.1416
5.6,23.1109,,31.36,,129.42104
4.6,26.2295,,21.16,,120.6557
5.7,23.4318,,32.49,,133.56126
5.7,23.9993,,32.49,,136.79601
4.3,27.6,,18.49,,118.68
5.3,24.2999,,28.09,,128.78947
5.3,23.2999,,28.09,,123.48947
5.3,22.7619,,28.09,,120.63807
5.3,22.9,,28.09,,121.37
4.3,27.6,,18.49,,118.68
5.3,24.2999,,28.09,,128.78947
5.3,23.2999,,28.09,,123.48947
5.3,22.7619,,28.09,,120.63807
5.3,22.9,,28.09,,121.37
5.3,23.2999,,28.09,,123.48947
5.3,22.9,,28.09,,121.37
5.3,23.2999,,28.09,,123.48947
5.3,22.9,,28.09,,121.37
2,35,,4,,70
3.3,33.0988,,10.89,,109.22604
3.8,31.9,,14.44,,121.22
4,35.2,,16,,140.8
3.3,33.0988,,10.89,,109.22604
3.8,31.9,,14.44,,121.22
4,35.2,,16,,140.8
3.5,35.5,,12.25,,124.25
3.5,32.4,,12.25,,113.4
3.8,32.4,,14.44,,123.12
3.8,32.4,,14.44,,123.12
2.3,39.2,,5.29,,90.16
2.3,38.1,,5.29,,87.63
3.5,34,,12.25,,119
3.8,31.9,,14.44,,121.22
4,35.2,,16,,140.8
3.5,29.2,,12.25,,102.2
2.3,34.4,,5.29,,79.12
3.6,33,,12.96,,118.8
6.2,28.4,,38.44,,176.08
6,30.5,,36,,183
6.2,28.4,,38.44,,176.08
3,34.5,,9,,103.5
5.3,28.9935,,28.09,,153.66555
6.2,26,,38.44,,161.2
5.3,28.9935,,28.09,,153.66555
6.2,26,,38.44,,161.2
5.3,28.9935,,28.09,,153.66555
6,30.5,,36,,183
2.4,45.1,,5.76,,108.24
3,34.5482,,9,,103.6446
2,40.3,,4,,80.6
2,40.6,,4,,81.2
2.2,42.3991,,4.84,,93.27802
2.2,44.9991,,4.84,,98.99802
2.4,41.9,,5.76,,100.56
2.4,41.5,,5.76,,99.6
2.2,42.3991,,4.84,,93.27802
2.2,44.9991,,4.84,,98.99802
2.4,41.9,,5.76,,100.56
2.4,41.5,,5.76,,99.6
3.6,33,,12.96,,118.8
2.4,34.1,,5.76,,81.84
2.4,35,,5.76,,84
3.5,33.2,,12.25,,116.2
3.7,30.5,,13.69,,112.85
4,29.4,,16,,117.6
3.5,34.2,,12.25,,119.7
2.5,39.2,,6.25,,98
2.5,38.6,,6.25,,96.5
3,34.8,,9,,104.4
2.5,42.9,,6.25,,107.25
5.4,27,,29.16,,145.8
4,27.8,,16,,111.2
4.6,29,,21.16,,133.4
3.5,34.2,,12.25,,119.7
3.6,33,,12.96,,118.8
5.3,28.9935,,28.09,,153.66555
6.2,28.4,,38.44,,176.08
6,30.5,,36,,183
5.3,28.9935,,28.09,,153.66555
6.2,28.4,,38.44,,176.08
6.2,26,,38.44,,161.2
2.4,45.1,,5.76,,108.24
3,34.5482,,9,,103.6446
3.5,38.3,,12.25,,134.05
2.4,39.2,,5.76,,94.08
2.4,34.3,,5.76,,82.32
2.4,31.9,,5.76,,76.56
3.5,31.9475,,12.25,,111.81625
2.4,38.6,,5.76,,92.64
2.4,36.7,,5.76,,88.08
3.5,36.4,,12.25,,127.4
2.4,41.6,,5.76,,99.84
2.4,43.2286,,5.76,,103.74864
3.8,32.5,,14.44,,123.5
3.5,31.4961,,12.25,,110.23635
5.6,24.2,,31.36,,135.52
3.7,27.2,,13.69,,100.64
5.7,27.1,,32.49,,154.47
2,40.2397,,4,,80.4794
2,38,,4,,76
2.4,39.2,,5.76,,94.08
2.4,34.7,,5.76,,83.28
3.7,28.8,,13.69,,106.56
5.7,27.1,,32.49,,154.47
3.7,30.5,,13.69,,112.85
2,40.2397,,4,,80.4794
2,38,,4,,76
2.4,39.2,,5.76,,94.08
2.4,34.7,,5.76,,83.28
3.8,28.2,,14.44,,107.16
3.8,29.5,,14.44,,112.1
4.6,29.9,,21.16,,137.54
2,34.5,,4,,69
2,35.3,,4,,70.6
2.7,32.7,,7.29,,88.29
3.5,34.5,,12.25,,120.75
3.5,39.0959,,12.25,,136.83565
3.5,32.2,,12.25,,112.7
3.5,34.2,,12.25,,119.7
5.4,27,,29.16,,145.8
2.3,34.7,,5.29,,79.81
2.5,38.6,,6.25,,96.5
3.7,30.5,,13.69,,112.85
2.5,38.6,,6.25,,96.5
2.5,39.2,,6.25,,98
3,34.8,,9,,104.4
2.5,42.9,,6.25,,107.25
3.5,30.6,,12.25,,107.1
3.5,28.7,,12.25,,100.45
2.5,39.2,,6.25,,98
3,34.8,,9,,104.4
2.5,42.9,,6.25,,107.25
4,27.8,,16,,111.2
4.6,29,,21.16,,133.4
2.4,37.9764,,5.76,,91.14336
3,35.2887,,9,,105.8661
3.8,29.8099,,14.44,,113.27762
5.6,24.9477,,31.36,,139.70712
5.6,25.1952,,31.36,,141.09312
3.5,32.4076,,12.25,,113.4266
4,29.9,,16,,119.6
4,30.9375,,16,,123.75
2.5,38.0299,,6.25,,95.07475
4,28.0488,,16,,112.1952
4,28.6549,,16,,114.6196
3.6,33,,12.96,,118.8
2.4,37,,5.76,,88.8
3.6,33,,12.96,,118.8
3.6,33.2,,12.96,,119.52
2.4,45.3,,5.76,,108.72
2.4,35.8103,,5.76,,85.94472
2.4,34.2831,,5.76,,82.27944
3.2,33.7628,,10.24,,108.04096
2.7,31.7,,7.29,,85.59
4,31.4,,16,,125.6
4,30.2,,16,,120.8
2.7,37.8,,7.29,,102.06
3.5,33.1,,12.25,,115.85
2.5,39.7,,6.25,,99.25
3.5,37.3499,,12.25,,130.72465
4.6,26.5484,,21.16,,122.12264
5.7,25.6179,,32.49,,146.02203
2.7,40.6,,7.29,,109.62
3.5,36.6,,12.25,,128.1
2,34.1,,4,,68.2
2,36.2,,4,,72.4
3.2,36.4,,10.24,,116.48
3.2,29.7,,10.24,,95.04
3.5,28.7,,12.25,,100.45
2.3,31.9,,5.29,,73.37
3.7,31.6,,13.69,,116.92
3.2,30.7,,10.24,,98.24
3,33.2,,9,,99.6
3.6,26.1066,,12.96,,93.98376
4.2,24.6,,17.64,,103.32
4.4,26.6,,19.36,,117.04
3,33,,9,,99
3,33.6,,9,,100.8
3,29.6,,9,,88.8
3,36.559,,9,,109.677
4.8,26.7946,,23.04,,128.61408
4.4,23.1521,,19.36,,101.86924
3,29.5,,9,,88.5
4.4,24.9,,19.36,,109.56
4.4,23.1521,,19.36,,101.86924
3.6,30.9,,12.96,,111.24
6.2,27.4,,38.44,,169.88
2.8,30.2993,,7.84,,84.83804
3,31.3,,9,,93.9
2.4,40.3,,5.76,,96.72
3,33.1,,9,,99.3
5.3,29,,28.09,,153.7
6,30.2999,,36,,181.7994
3.6,31.6,,12.96,,113.76
3.5,31.9,,12.25,,111.65
3.7,28.5,,13.69,,105.45
4,28.4,,16,,113.6
3.5,31.4,,12.25,,109.9
2.5,36.0307,,6.25,,90.07675
3,31.3917,,9,,94.1751
2.5,37.9,,6.25,,94.75
5.4,23.8983,,29.16,,129.05082
4,25.7535,,16,,103.014
4.6,26.6622,,21.16,,122.64612
3.5,30.3805,,12.25,,106.33175
3.5,30.2,,12.25,,105.7
3.6,31.6,,12.96,,113.76
5.3,29,,28.09,,153.7
6,30.2999,,36,,181.7994
6.2,27.4,,38.44,,169.88
2.4,40.3,,5.76,,96.72
3,33.1,,9,,99.3
3.5,34.6,,12.25,,121.1
2.4,37.7098,,5.76,,90.50352
2.4,31.3,,5.76,,75.12
2.4,33.5,,5.76,,80.4
3.5,30.5,,12.25,,106.75
3.7,25.2,,13.69,,93.24
3.7,25.1,,13.69,,92.87
5.3,22.2999,,28.09,,118.18947
2.4,37.6,,5.76,,90.24
3.5,36,,12.25,,126
2.4,39.2041,,5.76,,94.08984
2.4,38.6,,5.76,,92.64
3.8,31.1,,14.44,,118.18
3.5,29.7734,,12.25,,104.2069
5,27.2511,,25,,136.2555
5.6,23.6,,31.36,,132.16
3.7,26.6,,13.69,,98.42
5.7,26,,32.49,,148.2
2.4,38.6,,5.76,,92.64
2.4,33.6,,5.76,,80.64
3.7,27.5,,13.69,,101.75
5.7,26,,32.49,,148.2
6.1,20.9,,37.21,,127.49
3.7,28.5,,13.69,,105.45
2.4,38.6,,5.76,,92.64
2.4,33.6,,5.76,,80.64
2.4,33.6,,5.76,,80.64
3.8,26.163,,14.44,,99.4194
3.8,26.5632,,14.44,,100.94016
3.8,29.2986,,14.44,,111.33468
4.6,28.4,,21.16,,130.64
2,33.4,,4,,66.8
2.7,31.3,,7.29,,84.51
3.2,30.347,,10.24,,97.1104
5,23.8204,,25,,119.102
5,24.5722,,25,,122.861
5,25.5082,,25,,127.541
5,23.5743,,25,,117.8715
5,24.7928,,25,,123.964
4.6,28.3,,21.16,,130.18
5.7,24.1491,,32.49,,137.64987
3.5,33.7937,,12.25,,118.27795
3.5,38.7193,,12.25,,135.51755
3.5,29.9849,,12.25,,104.94715
3.5,30.2,,12.25,,105.7
3.5,31.4,,12.25,,109.9
2.3,31.7,,5.29,,72.91
3.7,28.7,,13.69,,106.19
2.5,37,,6.25,,92.5
3,32.1,,9,,96.3
2.5,37.9,,6.25,,94.75
5.4,20.7,,29.16,,111.78
5.5,20.1,,30.25,,110.55
3,31.5,,9,,94.5
4.7,23.8,,22.09,,111.86
5.5,23.2,,30.25,,127.6
3.5,28.6683,,12.25,,100.33905
3.5,27.3,,12.25,,95.55
3,34.4,,9,,103.2
5.5,24.6,,30.25,,135.3
6.3,19.7,,39.69,,124.11
3.5,33.7,,12.25,,117.95
3.5,25.8,,12.25,,90.3
3,33.3,,9,,99.9
2.5,36.0307,,6.25,,90.07675
3,31.3917,,9,,94.1751
2.5,37.9,,6.25,,94.75
4,25.7535,,16,,103.014
4.6,26.6622,,21.16,,122.64612
2.4,35.2418,,5.76,,84.58032
3,32.9548,,9,,98.8644
3.8,26.9,,14.44,,102.22
5.6,24.1924,,31.36,,135.47744
5.6,24.1491,,31.36,,135.23496
3.5,31.7082,,12.25,,110.9787
4,27.234,,16,,108.936
5.6,24.2996,,31.36,,136.07776
2.5,35.8606,,6.25,,89.6515
4,27.1846,,16,,108.7384
4,27.5665,,16,,110.266
3.6,27.5811,,12.96,,99.29196
3.6,28.1127,,12.96,,101.20572
4.8,25.56,,23.04,,122.688
4.8,23.578,,23.04,,113.1744
4.8,26.388,,23.04,,126.6624
4.8,23.578,,23.04,,113.1744
4.8,25.7761,,23.04,,123.72528
4.8,25.7761,,23.04,,123.72528
4.8,25.7761,,23.04,,123.72528
3.6,31.6,,12.96,,113.76
3.5,32.2,,12.25,,112.7
3.6,32.1,,12.96,,115.56
3.6,32.6,,12.96,,117.36
2.5,37.071,,6.25,,92.6775
2.5,35.9226,,6.25,,89.8065
2.5,32.9103,,6.25,,82.27575
2.5,40.0816,,6.25,,100.204
2.5,37.0574,,6.25,,92.6435
3.6,34.2708,,12.96,,123.37488
3.6,29.5,,12.96,,106.2
2.4,34.2513,,5.76,,82.20312
2.4,32.2765,,5.76,,77.4636
3.2,32.2747,,10.24,,103.27904
4,30,,16,,120
4,30,,16,,120
4,28.9182,,16,,115.6728
4,26.8137,,16,,107.2548
3.5,31.3,,12.25,,109.55
3.3,34.9989,,10.89,,115.49637
5.7,24.7491,,32.49,,141.06987
2.5,38.3778,,6.25,,95.9445
3.5,35.7494,,12.25,,125.1229
4.6,24.8718,,21.16,,114.41028
5.7,24.5,,32.49,,139.65
5.7,24.2206,,32.49,,138.05742
2.7,38.7,,7.29,,104.49
3.5,35,,12.25,,122.5
2,33.3,,4,,66.6
3,34.4,,9,,103.2
3.6,26.1066,,12.96,,93.98376
3,29.7892,,9,,89.3676
3.2,30.4926,,10.24,,97.57632
3,29.7892,,9,,89.3676
3.2,30.4926,,10.24,,97.57632
3.2,29.7431,,10.24,,95.17792
4.4,26.2,,19.36,,115.28
